monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20260404,20260405,476
0,0,0,0,0,0,1,20260404,20260405,54
0,0,0,0,0,0,1,20260404,20260412,835
0,0,0,0,0,0,1,20260404,20260419,260
0,0,0,0,0,0,1,20260404,20260426,456
0,0,0,0,0,0,1,20260404,20260426,815
0,0,0,0,0,0,1,20260404,20260503,405
0,0,0,0,0,0,1,20260405,20260412,465
0,0,0,0,0,0,1,20260405,20260412,869
0,0,0,0,0,0,1,20260405,20260416,820
0,0,0,0,0,0,1,20260405,20260419,295
0,0,0,0,0,0,1,20260405,20260419,954
0,0,0,0,0,0,1,20260405,20260419,974
0,0,0,0,0,0,1,20260405,20260426,1008
0,0,0,0,0,0,1,20260405,20260426,710
0,0,0,0,0,0,1,20260405,20260501,583
0,0,0,0,0,0,1,20260405,20260503,1019
0,0,0,0,0,0,1,20260405,20260503,129
0,0,0,0,0,0,1,20260405,20260503,488
0,0,0,0,0,0,1,20260405,20260503,849
0,0,0,0,0,0,1,20260405,20260503,88
0,0,0,0,0,0,1,20260406,20260426,86
0,0,0,0,0,0,1,20260407,20260504,846
0,0,0,0,0,0,1,20260411,20260426,279
0,0,0,0,0,0,1,20260412,20260419,392
0,0,0,0,0,0,1,20260412,20260420,888
0,0,0,0,0,0,1,20260412,20260426,277
0,0,0,0,0,0,1,20260412,20260426,314
0,0,0,0,0,0,1,20260412,20260503,629
0,0,0,0,0,0,1,20260417,20260427,479
0,0,0,0,0,0,1,20260418,20260426,734
0,0,0,0,0,0,1,20260418,20260501,930
0,0,0,0,0,0,1,20260419,20260426,177
0,0,0,0,0,0,1,20260419,20260503,1031
0,0,0,0,0,0,1,20260419,20260503,223
0,0,0,0,0,0,1,20260419,20260503,517
0,0,0,0,0,0,1,20260425,20260503,370
0,0,0,0,0,0,1,20260426,20260503,731
0,0,0,0,0,1,0,20260404,20260411,268
0,0,0,0,0,1,0,20260404,20260411,331
0,0,0,0,0,1,0,20260404,20260411,922
0,0,0,0,0,1,0,20260404,20260412,633
0,0,0,0,0,1,0,20260404,20260418,68
0,0,0,0,0,1,0,20260404,20260418,866
0,0,0,0,0,1,0,20260404,20260425,453
0,0,0,0,0,1,0,20260404,20260425,591
0,0,0,0,0,1,0,20260404,20260425,823
0,0,0,0,0,1,0,20260404,20260425,997
0,0,0,0,0,1,0,20260404,20260502,1038
0,0,0,0,0,1,0,20260404,20260502,400
0,0,0,0,0,1,0,20260404,20260502,592
0,0,0,0,0,1,0,20260404,20260502,686
0,0,0,0,0,1,0,20260404,20260502,816
0,0,0,0,0,1,0,20260404,20260502,915
0,0,0,0,0,1,0,20260411,20260418,948
0,0,0,0,0,1,0,20260411,20260425,275
0,0,0,0,0,1,0,20260411,20260502,371
0,0,0,0,0,1,0,20260417,20260426,437
0,0,0,0,0,1,0,20260418,20260425,542
0,0,0,0,0,1,0,20260418,20260502,17
0,0,0,0,0,1,0,20260418,20260502,472
0,0,0,0,0,1,0,20260425,20260502,25
0,0,0,0,0,1,0,20260425,20260502,467
0,0,0,0,0,1,0,20260425,20260503,10
0,0,0,0,0,1,0,20260425,20260504,246
0,0,0,0,0,1,1,20260404,20260405,73
0,0,0,0,0,1,1,20260404,20260411,1023
0,0,0,0,0,1,1,20260404,20260411,409
0,0,0,0,0,1,1,20260404,20260412,494
0,0,0,0,0,1,1,20260404,20260418,698
0,0,0,0,0,1,1,20260404,20260419,189
0,0,0,0,0,1,1,20260404,20260419,232
0,0,0,0,0,1,1,20260404,20260419,395
0,0,0,0,0,1,1,20260404,20260419,489
0,0,0,0,0,1,1,20260404,20260419,530
