route_id,service_id,trip_id,trip_headsign,block_id,shape_id,trip_short_name,wheelchair_accessible,bikes_allowed
70083,CG34-000-0083-7,7-CG34-000-0083,"Carbonia Serbariu",,"7-CG34-000-0083",CG34,0,0
70083,CG170-001-0083-7,7-CG170-001-0083,"Carbonia Serbariu",,"7-CG170-001-0083",CG170,0,0
70083,CG168-002-0083-7,7-CG168-002-0083,"IGLESIAS",,"7-CG168-002-0083",CG168,0,0
70083,CG166-003-0083-7,7-CG166-003-0083,"Carbonia Serbariu",,"7-CG166-003-0083",CG166,0,0
70083,CG164-004-0083-7,7-CG164-004-0083,"IGLESIAS",,"7-CG164-004-0083",CG164,0,0
70083,CG162-005-0083-7,7-CG162-005-0083,"Carbonia Serbariu",,"7-CG162-005-0083",CG162,0,0
70083,CG161-006-0083-7,7-CG161-006-0083,"DECIMOMANNU",,"7-CG161-006-0083",CG161,0,0
70083,CG160-007-0083-7,7-CG160-007-0083,"IGLESIAS",,"7-CG160-007-0083",CG160,0,0
70083,CG159-008-0083-7,7-CG159-008-0083,"DECIMOMANNU",,"7-CG159-008-0083",CG159,0,0
70083,CG158-009-0083-7,7-CG158-009-0083,"Carbonia Serbariu",,"7-CG158-009-0083",CG158,0,0
70083,CG157-00A-0083-7,7-CG157-00A-0083,"DECIMOMANNU",,"7-CG157-00A-0083",CG157,0,0
70083,CG156-00B-0083-7,7-CG156-00B-0083,"IGLESIAS",,"7-CG156-00B-0083",CG156,0,0
70083,CG155-00C-0083-7,7-CG155-00C-0083,"DECIMOMANNU",,"7-CG155-00C-0083",CG155,0,0
70083,CG154-00D-0083-7,7-CG154-00D-0083,"Carbonia Serbariu",,"7-CG154-00D-0083",CG154,0,0
70083,CG153-00E-0083-7,7-CG153-00E-0083,"DECIMOMANNU",,"7-CG153-00E-0083",CG153,0,0
70083,CG152-00F-0083-7,7-CG152-00F-0083,"IGLESIAS",,"7-CG152-00F-0083",CG152,0,0
70083,CG151-010-0083-7,7-CG151-010-0083,"DECIMOMANNU",,"7-CG151-010-0083",CG151,0,0
70083,CG150-011-0083-7,7-CG150-011-0083,"Carbonia Serbariu",,"7-CG150-011-0083",CG150,0,0
70083,CG149-012-0083-7,7-CG149-012-0083,"DECIMOMANNU",,"7-CG149-012-0083",CG149,0,0
70083,CG148-013-0083-7,7-CG148-013-0083,"IGLESIAS",,"7-CG148-013-0083",CG148,0,0
70083,CG147-014-0083-7,7-CG147-014-0083,"DECIMOMANNU",,"7-CG147-014-0083",CG147,0,0
70083,CG146-015-0083-7,7-CG146-015-0083,"IGLESIAS",,"7-CG146-015-0083",CG146,0,0
70083,CG145-016-0083-7,7-CG145-016-0083,"DECIMOMANNU",,"7-CG145-016-0083",CG145,0,0
70083,CG144-017-0083-7,7-CG144-017-0083,"Carbonia Serbariu",,"7-CG144-017-0083",CG144,0,0
70083,CG143-018-0083-7,7-CG143-018-0083,"DECIMOMANNU",,"7-CG143-018-0083",CG143,0,0
70083,CG142-019-0083-7,7-CG142-019-0083,"IGLESIAS",,"7-CG142-019-0083",CG142,0,0
70083,CG141-01A-0083-7,7-CG141-01A-0083,"DECIMOMANNU",,"7-CG141-01A-0083",CG141,0,0
70083,CG140-01B-0083-7,7-CG140-01B-0083,"Carbonia Serbariu",,"7-CG140-01B-0083",CG140,0,0
70083,CG139-01C-0083-7,7-CG139-01C-0083,"DECIMOMANNU",,"7-CG139-01C-0083",CG139,0,0
70083,CG138-01D-0083-7,7-CG138-01D-0083,"Carbonia Serbariu",,"7-CG138-01D-0083",CG138,0,0
70083,CG137-01E-0083-7,7-CG137-01E-0083,"DECIMOMANNU",,"7-CG137-01E-0083",CG137,0,0
70083,CG136-01F-0083-7,7-CG136-01F-0083,"IGLESIAS",,"7-CG136-01F-0083",CG136,0,0
70083,CG134-020-0083-7,7-CG134-020-0083,"Carbonia Serbariu",,"7-CG134-020-0083",CG134,0,0
70083,CG133-021-0083-7,7-CG133-021-0083,"DECIMOMANNU",,"7-CG133-021-0083",CG133,0,0
70083,CG132-022-0083-7,7-CG132-022-0083,"IGLESIAS",,"7-CG132-022-0083",CG132,0,0
70083,CG131-023-0083-7,7-CG131-023-0083,"DECIMOMANNU",,"7-CG131-023-0083",CG131,0,0
70083,CG129-024-0083-7,7-CG129-024-0083,"DECIMOMANNU",,"7-CG129-024-0083",CG129,0,0
70083,CG128-025-0083-7,7-CG128-025-0083,"Carbonia Serbariu",,"7-CG128-025-0083",CG128,0,0
70083,CG127-026-0083-7,7-CG127-026-0083,"DECIMOMANNU",,"7-CG127-026-0083",CG127,0,0
70083,CG126-027-0083-7,7-CG126-027-0083,"IGLESIAS",,"7-CG126-027-0083",CG126,0,0
70083,CG125-028-0083-7,7-CG125-028-0083,"DECIMOMANNU",,"7-CG125-028-0083",CG125,0,0
70083,CG124-029-0083-7,7-CG124-029-0083,"Carbonia Serbariu",,"7-CG124-029-0083",CG124,0,0
70083,CG123-02A-0083-7,7-CG123-02A-0083,"DECIMOMANNU",,"7-CG123-02A-0083",CG123,0,0
70083,CG122-02B-0083-7,7-CG122-02B-0083,"IGLESIAS",,"7-CG122-02B-0083",CG122,0,0
70083,CG121-02C-0083-7,7-CG121-02C-0083,"DECIMOMANNU",,"7-CG121-02C-0083",CG121,0,0
70083,CG120-02D-0083-7,7-CG120-02D-0083,"Carbonia Serbariu",,"7-CG120-02D-0083",CG120,0,0
70083,CG119-02E-0083-7,7-CG119-02E-0083,"DECIMOMANNU",,"7-CG119-02E-0083",CG119,0,0
70083,CG118-02F-0083-7,7-CG118-02F-0083,"IGLESIAS",,"7-CG118-02F-0083",CG118,0,0
70083,CG117-030-0083-7,7-CG117-030-0083,"DECIMOMANNU",,"7-CG117-030-0083",CG117,0,0
70083,CG116-031-0083-7,7-CG116-031-0083,"Carbonia Serbariu",,"7-CG116-031-0083",CG116,0,0
70083,CG115-032-0083-7,7-CG115-032-0083,"DECIMOMANNU",,"7-CG115-032-0083",CG115,0,0
70083,CG114-033-0083-7,7-CG114-033-0083,"IGLESIAS",,"7-CG114-033-0083",CG114,0,0
70083,CG113-034-0083-7,7-CG113-034-0083,"DECIMOMANNU",,"7-CG113-034-0083",CG113,0,0
70083,CG112-035-0083-7,7-CG112-035-0083,"Carbonia Serbariu",,"7-CG112-035-0083",CG112,0,0
70083,CG111-036-0083-7,7-CG111-036-0083,"DECIMOMANNU",,"7-CG111-036-0083",CG111,0,0
70083,CG110-037-0083-7,7-CG110-037-0083,"IGLESIAS",,"7-CG110-037-0083",CG110,0,0
70083,CG109-038-0083-7,7-CG109-038-0083,"DECIMOMANNU",,"7-CG109-038-0083",CG109,0,0
70083,CG108-039-0083-7,7-CG108-039-0083,"Carbonia Serbariu",,"7-CG108-039-0083",CG108,0,0
70083,CG107-03A-0083-7,7-CG107-03A-0083,"DECIMOMANNU",,"7-CG107-03A-0083",CG107,0,0
70083,CG106-03B-0083-7,7-CG106-03B-0083,"IGLESIAS",,"7-CG106-03B-0083",CG106,0,0
70083,CG105-03C-0083-7,7-CG105-03C-0083,"DECIMOMANNU",,"7-CG105-03C-0083",CG105,0,0
70083,CG104-03D-0083-7,7-CG104-03D-0083,"Carbonia Serbariu",,"7-CG104-03D-0083",CG104,0,0
70083,CG103-03E-0083-7,7-CG103-03E-0083,"DECIMOMANNU",,"7-CG103-03E-0083",CG103,0,0
70083,CG102-03F-0083-7,7-CG102-03F-0083,"IGLESIAS",,"7-CG102-03F-0083",CG102,0,0
70083,CG101-040-0083-7,7-CG101-040-0083,"DECIMOMANNU",,"7-CG101-040-0083",CG101,0,0
70083,CG100-041-0083-7,7-CG100-041-0083,"Carbonia Serbariu",,"7-CG100-041-0083",CG100,0,0
70083,CG099-042-0083-7,7-CG099-042-0083,"DECIMOMANNU",,"7-CG099-042-0083",CG099,0,0
70083,CG098-043-0083-7,7-CG098-043-0083,"IGLESIAS",,"7-CG098-043-0083",CG098,0,0
70083,CG097-044-0083-7,7-CG097-044-0083,"DECIMOMANNU",,"7-CG097-044-0083",CG097,0,0
70083,CG096-045-0083-7,7-CG096-045-0083,"IGLESIAS",,"7-CG096-045-0083",CG096,0,0
